序号,中文名,备选中文名,拉丁名,英文名,目,科,ebird,birdreport
518,褐背伯劳,,Lanius vittatus,Bay-backed Shrike,雀形目,伯劳科,,
519,蓝八色鸫,,Hydrornis cyaneus,Blue Pitta,雀形目,八色鸫科,,
520,蓝枕八色鸫,,Hydrornis nipalensis,Blue-naped Pitta,雀形目,八色鸫科,,
521,栗头八色鸫,,Hydrornis oatesi,Rusty-naped Pitta,雀形目,八色鸫科,,
522,双辫八色鸫,,Hydrornis phayrei,Eared Pitta,雀形目,八色鸫科,,
523,蓝背八色鸫,,Hydrornis soror,Blue-rumped Pitta,雀形目,八色鸫科,,
524,印度八色鸫,,Pitta brachyura,Indian Pitta,雀形目,八色鸫科,,
525,蓝翅八色鸫,,Pitta moluccensis,Blue-winged Pitta,雀形目,八色鸫科,,
526,仙八色鸫,,Pitta nympha,Fairy Pitta,雀形目,八色鸫科,,
527,绿胸八色鸫,,Pitta sordida,Western Hooded Pitta,雀形目,八色鸫科,,
528,古铜色卷尾,,Dicrurus aeneus,Bronzed Drongo,雀形目,卷尾科,,
529,鸦嘴卷尾,,Dicrurus annectens,Crow-billed Drongo,雀形目,卷尾科,,
530,发冠卷尾,,Dicrurus hottentottus,Hair-crested Drongo,雀形目,卷尾科,,
531,灰卷尾,,Dicrurus leucophaeus,Ashy Drongo,雀形目,卷尾科,,
532,黑卷尾,,Dicrurus macrocercus,Black Drongo,雀形目,卷尾科,,
533,大盘尾,,Dicrurus paradiseus,Greater Racket-tailed Drongo,雀形目,卷尾科,,
534,小盘尾,,Dicrurus remifer,Lesser Racket-tailed Drongo,雀形目,卷尾科,,
535,金额叶鹎,,Chloropsis aurifrons,Golden-fronted Leafbird,雀形目,叶鹎科,,
536,蓝翅叶鹎,,Chloropsis cochinchinensis,Blue-winged Leafbird,雀形目,叶鹎科,,
537,西南橙腹叶鹎,橙腹叶鹎,Chloropsis hardwickii,Orange-bellied Leafbird,雀形目,叶鹎科,,
538,橙腹叶鹎,,Chloropsis lazulina,Grayish-crowned Leafbird,雀形目,叶鹎科,,
539,和平鸟,,Irena puella,Asian Fairy-bluebird,雀形目,和平鸟科,,
540,厚嘴啄花鸟,,Dicaeum agile,Thick-billed Flowerpecker,雀形目,啄花鸟科,,
541,黄臀啄花鸟,,Dicaeum chrysorrheum,Yellow-vented Flowerpecker,雀形目,啄花鸟科,,
542,朱背啄花鸟,,Dicaeum cruentatum,Scarlet-backed Flowerpecker,雀形目,啄花鸟科,,
543,红胸啄花鸟,,Dicaeum ignipectus,Fire-breasted Flowerpecker,雀形目,啄花鸟科,,
544,黄腹啄花鸟,,Dicaeum melanozanthum,Yellow-bellied Flowerpecker,雀形目,啄花鸟科,,
545,纯色啄花鸟,,Dicaeum minullum,Plain Flowerpecker,雀形目,啄花鸟科,,
546,蓝翅希鹛,,Actinodura cyanouroptera,Blue-winged Minla,雀形目,噪鹛科,,
547,栗额斑翅鹛,,Actinodura egertoni,Rusty-fronted Barwing,雀形目,噪鹛科,,
548,台湾斑翅鹛,,Actinodura morrisoniana,Taiwan Barwing,雀形目,噪鹛科,,
549,纹头斑翅鹛,,Actinodura nipalensis,Hoary-throated Barwing,雀形目,噪鹛科,,
550,白眶斑翅鹛,,Actinodura ramsayi,Spectacled Barwing,雀形目,噪鹛科,,
551,灰头斑翅鹛,,Actinodura souliei,Streaked Barwing,雀形目,噪鹛科,,
552,斑喉希鹛,,Actinodura strigula,Bar-throated Minla,雀形目,噪鹛科,,
553,纹胸斑翅鹛,,Actinodura waldeni,Streak-throated Barwing,雀形目,噪鹛科,,
554,斑胁姬鹛,,Cutia nipalensis,Himalayan Cutia,雀形目,噪鹛科,,
555,画眉,,Garrulax canorus,Chinese Hwamei,雀形目,噪鹛科,,
556,栗颊噪鹛,,Garrulax castanotis,Rufous-cheeked Laughingthrush,雀形目,噪鹛科,,
557,白冠噪鹛,,Garrulax leucolophus,White-crested Laughingthrush,雀形目,噪鹛科,,
558,褐胸噪鹛,,Garrulax maesi,Grey Laughingthrush,雀形目,噪鹛科,,
559,斑胸噪鹛,,Garrulax merulinus,Spot-breasted Laughingthrush,雀形目,噪鹛科,,
560,小黑领噪鹛,,Garrulax monileger,Lesser Necklaced Laughingthrush,雀形目,噪鹛科,,
561,海南画眉,,Garrulax owstoni,Hainan Hwamei,雀形目,噪鹛科,,
562,白颈噪鹛,,Garrulax strepitans,White-necked Laughingthrush,雀形目,噪鹛科,,
563,台湾画眉,,Garrulax taewanus,Taiwan Hwamei,雀形目,噪鹛科,,
564,条纹噪鹛,,Grammatoptila striata,Striated Laughingthrush,雀形目,噪鹛科,,
565,白耳奇鹛,,Heterophasia auricularis,White-eared Sibia,雀形目,噪鹛科,,
566,黑顶奇鹛,,Heterophasia capistrata,Rufous Sibia,雀形目,噪鹛科,,
567,黑头奇鹛,,Heterophasia desgodinsi,Dark-backed Sibia,雀形目,噪鹛科,,
568,灰奇鹛,,Heterophasia gracilis,Grey Sibia,雀形目,噪鹛科,,
569,长尾奇鹛,,Heterophasia picaoides,Long-tailed Sibia,雀形目,噪鹛科,,
570,丽色奇鹛,,Heterophasia pulchella,Beautiful Sibia,雀形目,噪鹛科,,
571,白点噪鹛,,Ianthocincla bieti,White-speckled Laughingthrush,雀形目,噪鹛科,,
572,灰翅噪鹛,,Ianthocincla cineraceus,Moustached Laughingthrush,雀形目,噪鹛科,,
573,斑背噪鹛,,Ianthocincla lunulatus,Barred Laughingthrush,雀形目,噪鹛科,,
574,大噪鹛,,Ianthocincla maximus,Giant Laughingthrush,雀形目,噪鹛科,,
575,眼纹噪鹛,,Ianthocincla ocellatus,Spotted Laughingthrush,雀形目,噪鹛科,,
576,棕颏噪鹛,,Ianthocincla rufogularis,Rufous-chinned Laughingthrush,雀形目,噪鹛科,,
577,黑额山噪鹛,,Ianthocincla sukatschewi,Snowy-cheeked Laughingthrush,雀形目,噪鹛科,,
578,栗背奇鹛,,Leioptila annectens,Rufous-backed Sibia,雀形目,噪鹛科,,
579,银耳相思鸟,,Leiothrix argentauris,Silver-eared Mesia,雀形目,噪鹛科,,
580,红嘴相思鸟,,Leiothrix lutea,Red-billed Leiothrix,雀形目,噪鹛科,,
581,黑冠薮鹛,,Liocichla bugunorum,Bugun Liocichla,雀形目,噪鹛科,,
582,灰胸薮鹛,,Liocichla omeiensis,Emei Shan Liocichla,雀形目,噪鹛科,,
583,灰头薮鹛,,Liocichla phoenicea,Red-faced Liocichla,雀形目,噪鹛科,,
584,红翅薮鹛,,Liocichla ripponi,Scarlet-faced Liocichla,雀形目,噪鹛科,,
585,黄痣薮鹛,,Liocichla steerii,Steere's Liocichla,雀形目,噪鹛科,,
586,火尾希鹛,,Minla ignotincta,Red-tailed Minla,雀形目,噪鹛科,,
587,白喉噪鹛,,Pterorhinus albogularis,White-throated Laughingthrush,雀形目,噪鹛科,,
588,棕噪鹛,,Pterorhinus berthemyi,Buffy Laughingthrush,雀形目,噪鹛科,,
589,灰胁噪鹛,,Pterorhinus caerulatus,Grey-sided Laughingthrush,雀形目,噪鹛科,,
590,黑喉噪鹛,,Pterorhinus chinensis,Black-throated Laughingthrush,雀形目,噪鹛科,,
591,蓝冠噪鹛,,Pterorhinus courtoisi,Blue-crowned Laughingthrush,雀形目,噪鹛科,,
592,山噪鹛,,Pterorhinus davidi,Plain Laughingthrush,雀形目,噪鹛科,,
593,栗臀噪鹛,,Pterorhinus gularis,Rufous-vented Laughingthrush,雀形目,噪鹛科,,
594,棕草鹛,,Pterorhinus koslowi,Tibetan Babax,雀形目,噪鹛科,,
595,矛纹草鹛,,Pterorhinus lanceolatus,Chinese Babax,雀形目,噪鹛科,,
596,黑领噪鹛,,Pterorhinus pectoralis,Greater Necklaced Laughingthrush,雀形目,噪鹛科,,
597,黑脸噪鹛,,Pterorhinus perspicillatus,Masked Laughingthrush,雀形目,噪鹛科,,
598,台湾棕噪鹛,,Pterorhinus poecilorhynchus,Rusty Laughingthrush,雀形目,噪鹛科,,
599,台湾白喉噪鹛,,Pterorhinus ruficeps,Rufous-crowned Laughingthrush,雀形目,噪鹛科,,
600,栗颈噪鹛,,Pterorhinus ruficollis,Rufous-necked Laughingthrush,雀形目,噪鹛科,,
601,白颊噪鹛,,Pterorhinus sannio,White-browed Laughingthrush,雀形目,噪鹛科,,
602,大草鹛,,Pterorhinus waddelli,Giant Babax,雀形目,噪鹛科,,
603,黑顶噪鹛,,Trochalopteron affine,Black-faced Laughingthrush,雀形目,噪鹛科,,
604,红顶噪鹛,,Trochalopteron chrysopterum,Assam Laughingthrush,雀形目,噪鹛科,,
605,橙翅噪鹛,,Trochalopteron elliotii,Elliot's Laughingthrush,雀形目,噪鹛科,,
606,红头噪鹛,,Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush,雀形目,噪鹛科,,
607,红翅噪鹛,,Trochalopteron formosum,Red-winged Laughingthrush,雀形目,噪鹛科,,
608,灰腹噪鹛,,Trochalopteron henrici,Brown-cheeked Laughingthrush,雀形目,噪鹛科,,
609,丽星噪鹛,,Trochalopteron imbricatum,Bhutan Laughingthrush,雀形目,噪鹛科,,
610,细纹噪鹛,,Trochalopteron lineatum,Streaked Laughingthrush,雀形目,噪鹛科,,
611,银耳噪鹛,,Trochalopteron melanostigma,Silver-eared Laughingthrush,雀形目,噪鹛科,,
612,红尾噪鹛,,Trochalopteron milnei,Red-tailed Laughingthrush,雀形目,噪鹛科,,
613,台湾噪鹛,,Trochalopteron morrisonianum,White-whiskered Laughingthrush,雀形目,噪鹛科,,
614,蓝翅噪鹛,,Trochalopteron squamatum,Blue-winged Laughingthrush,雀形目,噪鹛科,,
615,纯色噪鹛,,Trochalopteron subunicolor,Scaly Laughingthrush,雀形目,噪鹛科,,
616,杂色噪鹛,,Trochalopteron variegatum,Variegated Laughingthrush,雀形目,噪鹛科,,
617,太平鸟,,Bombycilla garrulus,Bohemian Waxwing,雀形目,太平鸟科,,
618,小太平鸟,,Bombycilla japonica,Japanese Waxwing,雀形目,太平鸟科,,
619,大鹃鵙,,Coracina macei,Large Cuckooshrike,雀形目,山椒鸟科,,
620,暗灰鹃鵙,,Lalage melaschistos,Black-winged Cuckooshrike,雀形目,山椒鸟科,,
621,斑鹃鵙,黑鸣鹃鵙,Lalage nigra,Pied Triller,雀形目,山椒鸟科,,
622,短嘴山椒鸟,,Pericrocotus brevirostris,Short-billed Minivet,雀形目,山椒鸟科,,
623,小灰山椒鸟,,Pericrocotus cantonensis,Swinhoe's Minivet,雀形目,山椒鸟科,,
624,灰山椒鸟,,Pericrocotus divaricatus,Ashy Minivet,雀形目,山椒鸟科,,
625,长尾山椒鸟,,Pericrocotus ethologus,Long-tailed Minivet,雀形目,山椒鸟科,,
626,粉红山椒鸟,,Pericrocotus roseus,Rosy Minivet,雀形目,山椒鸟科,,
627,灰喉山椒鸟,,Pericrocotus solaris,Grey-chinned Minivet,雀形目,山椒鸟科,,
628,赤红山椒鸟,,Pericrocotus speciosus,Scarlet Minivet,雀形目,山椒鸟科,,
629,琉球山椒鸟,,Pericrocotus tegimae,Ryukyu Minivet,雀形目,山椒鸟科,,
630,火冠雀,,Cephalopyrus flammiceps,Fire-capped Tit,雀形目,山雀科,,
631,灰蓝山雀,,Cyanistes cyanus,Azure Tit,雀形目,山雀科,,
632,褐冠山雀,,Lophophanes dichrous,Grey Crested Tit,雀形目,山雀科,,
633,台湾黄山雀,,Machlolophus holsti,Yellow Tit,雀形目,山雀科,,
634,黄颊山雀,,Machlolophus spilonotus,Yellow-cheeked Tit,雀形目,山雀科,,
635,眼纹黄山雀,,Machlolophus xanthogenys,Himalayan Black-lored Tit,雀形目,山雀科,,
636,冕雀,,Melanochlora sultanea,Sultan Tit,雀形目,山雀科,,
637,黄腹山雀,,Pardaliparus venustulus,Yellow-bellied Tit,雀形目,山雀科,,
638,欧亚大山雀,,Parus major,Great Tit,雀形目,山雀科,,
639,大山雀,,Parus minor,Japanese Tit,雀形目,山雀科,,
640,绿背山雀,,Parus monticolus,Green-backed Tit,雀形目,山雀科,,
641,煤山雀,,Periparus ater,Coal Tit,雀形目,山雀科,,
642,黑冠山雀,,Periparus rubidiventris,Rufous-vented Tit,雀形目,山雀科,,
643,棕枕山雀,,Periparus rufonuchalis,Rufous-naped Tit,雀形目,山雀科,,
644,红腹山雀,,Poecile davidi,Pere David's Tit,雀形目,山雀科,,
645,黑喉山雀,,Poecile hypermelaenus,Black-bibbed Tit,雀形目,山雀科,,
646,褐头山雀,,Poecile montanus,Willow Tit,雀形目,山雀科,,
647,沼泽山雀,,Poecile palustris,Marsh Tit,雀形目,山雀科,,
648,白眉山雀,,Poecile superciliosus,White-browed Tit,雀形目,山雀科,,
649,四川褐头山雀,,Poecile weigoldicus,Sichuan Tit,雀形目,山雀科,,
650,地山雀,,Pseudopodoces humilis,Ground Tit,雀形目,山雀科,,
651,台湾杂色山雀,,Sittiparus castaneoventris,Chestnut-bellied Tit,雀形目,山雀科,,
652,杂色山雀,,Sittiparus varius,Varied Tit,雀形目,山雀科,,
653,黄眉林雀,,Sylviparus modestus,Yellow-browed Tit,雀形目,山雀科,,
654,黑喉岩鹨,,Prunella atrogularis,Black-throated Accentor,雀形目,岩鹨科,,
655,领岩鹨,,Prunella collaris,Alpine Accentor,雀形目,岩鹨科,,
656,褐岩鹨,,Prunella fulvescens,Brown Accentor,雀形目,岩鹨科,,
657,高原岩鹨,,Prunella himalayana,Altai Accentor,雀形目,岩鹨科,,
658,栗背岩鹨,,Prunella immaculata,Maroon-backed Accentor,雀形目,岩鹨科,,
659,贺兰山岩鹨,,Prunella koslowi,Mongolian Accentor,雀形目,岩鹨科,,
660,棕眉山岩鹨,,Prunella montanella,Siberian Accentor,雀形目,岩鹨科,,
661,鸲岩鹨,,Prunella rubeculoides,Robin Accentor,雀形目,岩鹨科,,
662,棕胸岩鹨,,Prunella strophiata,Rufous-breasted Accentor,雀形目,岩鹨科,,
663,白头鵙鹛,,Gampsorhynchus rufulus,White-hooded Babbler,雀形目,幽鹛科,,
664,领鵙鹛,,Gampsorhynchus torquatus,Collared Babbler,雀形目,幽鹛科,,
665,中华草鹛,,Graminicola striatus,Chinese Grassbird,雀形目,幽鹛科,,
666,灰岩鹪鹛,,Gypsophila annamensis,Annam Limestone Babbler,雀形目,幽鹛科,,
667,短尾鹪鹛,,Gypsophila brevicaudata,Streaked Wren-Babbler,雀形目,幽鹛科,,
668,纹胸鹪鹛,,Napothera epilepidota,Eyebrowed Wren-Babbler,雀形目,幽鹛科,,
669,长嘴鹩鹛,,Napothera malacoptila,Long-billed Wren-Babbler,雀形目,幽鹛科,,
670,瑙蒙短尾鹛,,Napothera naungmungensis,Naung Mung Scimitar Babbler,雀形目,幽鹛科,,
671,白腹幽鹛,,Pellorneum albiventre,Spot-throated Babbler,雀形目,幽鹛科,,
672,棕头幽鹛,,Pellorneum ruficeps,Puff-throated Babbler,雀形目,幽鹛科,,
673,棕胸雅鹛,棕胸幽鹛,Pellorneum tickelli,Buff-breasted Babbler,雀形目,幽鹛科,,
674,栗头雀鹛,,Schoeniparus  castaneceps,Rufous-winged Fulvetta,雀形目,幽鹛科,,
675,褐顶雀鹛,,Schoeniparus brunneus,Dusky Fulvetta,雀形目,幽鹛科,,
676,黄喉雀鹛,,Schoeniparus cinereus,Yellow-throated Fulvetta,雀形目,幽鹛科,,
677,褐胁雀鹛,,Schoeniparus dubius,Rusty-capped Fulvetta,雀形目,幽鹛科,,
678,棕喉雀鹛,,Schoeniparus rufogularis,Rufous-throated Fulvetta,雀形目,幽鹛科,,
679,金额雀鹛,,Schoeniparus variegaticeps,Golden-fronted Fulvetta,雀形目,幽鹛科,,
680,台湾戴菊,,Regulus goodfellowi,Flamecrest,雀形目,戴菊科,,
681,戴菊,,Regulus regulus,Goldcrest,雀形目,戴菊科,,
682,金头扇尾莺,,Cisticola exilis,Golden-headed Cisticola,雀形目,扇尾莺科,,
683,棕扇尾莺,,Cisticola juncidis,Zitting Cisticola,雀形目,扇尾莺科,,
684,黑喉缝叶莺,,Orthotomus atrogularis,Dark-necked Tailorbird,雀形目,扇尾莺科,,
685,长尾缝叶莺,,Orthotomus sutorius,Common Tailorbird,雀形目,扇尾莺科,,
686,黑喉山鹪莺,,Prinia atrogularis,Black-throated Prinia,雀形目,扇尾莺科,,
687,喜山山鹪莺,,Prinia crinigera,Himalayan Prinia,雀形目,扇尾莺科,,
688,黄腹山鹪莺,,Prinia flaviventris,Yellow-bellied Prinia,雀形目,扇尾莺科,,
689,灰胸山鹪莺,,Prinia hodgsonii,Grey-breasted Prinia,雀形目,扇尾莺科,,
690,纯色山鹪莺,,Prinia inornata,Plain Prinia,雀形目,扇尾莺科,,
691,暗冕山鹪莺,,Prinia rufescens,Rufescent Prinia,雀形目,扇尾莺科,,
692,山鹪莺,,Prinia striata,Striated Prinia,雀形目,扇尾莺科,,
693,白喉山鹪莺,黑喉山鹪莺,Prinia superciliaris,Hill Prinia,雀形目,扇尾莺科,,
694,白喉扇尾鹟,,Rhipidura albicollis,White-throated Fantail,雀形目,扇尾鹟科,,
695,白眉扇尾鹟,,Rhipidura aureola,White-browed Fantail,雀形目,扇尾鹟科,,
696,菲律宾斑扇尾鹟,,Rhipidura nigritorquis,Philippine Pied Fantail,雀形目,扇尾鹟科,,
697,中华攀雀,,Remiz consobrinus,Chinese Penduline Tit,雀形目,攀雀科,,
698,白冠攀雀,,Remiz coronatus,White-crowned Penduline Tit,雀形目,攀雀科,,
699,黑头攀雀,,Remiz macronyx,Black-headed Penduline Tit,雀形目,攀雀科,,
700,文须雀,,Panurus biarmicus,Bearded Reedling,雀形目,文须雀科,,
701,褐喉旋木雀,,Certhia discolor,Sikkim Treecreeper,雀形目,旋木雀科,,
702,欧亚旋木雀,,Certhia familiaris,Eurasian Treecreeper,雀形目,旋木雀科,,
703,高山旋木雀,,Certhia himalayana,Bar-tailed Treecreeper,雀形目,旋木雀科,,
704,霍氏旋木雀,,Certhia hodgsoni,Hodgson's Treecreeper,雀形目,旋木雀科,,
705,休氏旋木雀,,Certhia manipurensis,Hume's Treecreeper,雀形目,旋木雀科,,
706,锈红腹旋木雀,,Certhia nipalensis,Rusty-flanked Treecreeper,雀形目,旋木雀科,,
707,四川旋木雀,,Certhia tianquanensis,Sichuan Treecreeper,雀形目,旋木雀科,,
708,朱鹀,,Urocynchramus pylzowi,Przevalski's Finch,雀形目,朱鹀科,,
709,黄喉穗鹛,,Cyanoderma ambiguum,Buff-chested Babbler,雀形目,林鹛科,,
710,金头穗鹛,,Cyanoderma chrysaeum,Golden Babbler,雀形目,林鹛科,,
711,黑颏穗鹛,,Cyanoderma pyrrhops,Black-chinned Babbler,雀形目,林鹛科,,
712,红头穗鹛,,Cyanoderma ruficeps,Rufous-capped Babbler,雀形目,林鹛科,,
713,台湾斑胸钩嘴鹛,,Erythrogenys erythrocnemis,Black-necklaced Scimitar Babbler,雀形目,林鹛科,,
714,锈脸钩嘴鹛,,Erythrogenys erythrogenys,Rusty-cheeked Scimitar Babbler,雀形目,林鹛科,,
715,斑胸钩嘴鹛,,Erythrogenys gravivox,Black-streaked Scimitar Babbler,雀形目,林鹛科,,
716,长嘴钩嘴鹛,,Erythrogenys hypoleucos,Large Scimitar Babbler,雀形目,林鹛科,,
717,华南斑胸钩嘴鹛,,Erythrogenys swinhoei,Grey-sided Scimitar Babbler,雀形目,林鹛科,,
718,纹胸鹛,纹胸巨鹛,Mixornis gularis,Pin-striped Tit-Babbler,雀形目,林鹛科,,
719,红嘴钩嘴鹛,,Pomatorhinus ferruginosus,Coral-billed Scimitar Babbler,雀形目,林鹛科,,
720,台湾棕颈钩嘴鹛,,Pomatorhinus musicus,Taiwan Scimitar Babbler,雀形目,林鹛科,,
721,棕头钩嘴鹛,,Pomatorhinus ochraceiceps,Red-billed Scimitar Babbler,雀形目,林鹛科,,
722,棕颈钩嘴鹛,,Pomatorhinus ruficollis,Streak-breasted Scimitar Babbler,雀形目,林鹛科,,
723,灰头钩嘴鹛,,Pomatorhinus schisticeps,White-browed Scimitar Babbler,雀形目,林鹛科,,
724,细嘴钩嘴鹛,,Pomatorhinus superciliaris,Slender-billed Scimitar Babbler,雀形目,林鹛科,,
725,锈喉鹩鹛,,Spelaeornis badeigularis,Rusty-throated Wren-Babbler,雀形目,林鹛科,,
726,棕喉鹩鹛,,Spelaeornis caudatus,Rufous-throated Wren-Babbler,雀形目,林鹛科,,
727,长尾鹩鹛,,Spelaeornis chocolatinus ,Naga Wren-Babbler,雀形目,林鹛科,,
728,淡喉鹩鹛,,Spelaeornis kinneari,Pale-throated Wren-Babbler,雀形目,林鹛科,,
729,斑翅鹩鹛,,Spelaeornis troglodytoides,Bar-winged Wren-Babbler,雀形目,林鹛科,,
730,黑胸楔嘴穗鹛,,Stachyris humei,Blackish-breasted Babbler,雀形目,林鹛科,,
731,黑头穗鹛,,Stachyris nigriceps,Grey-throated Babbler,雀形目,林鹛科,,
732,弄岗穗鹛,,Stachyris nonggangensis,Nonggang Babbler,雀形目,林鹛科,,
733,楔嘴穗鹛,,Stachyris roberti,Chevron-breasted Babbler,雀形目,林鹛科,,
734,斑颈穗鹛,,Stachyris strialata,Spot-necked Babbler,雀形目,林鹛科,,
735,红顶鹛,,Timalia pileata,Chestnut-capped Babbler,雀形目,林鹛科,,
736,黄腹柳莺,,Phylloscopus affinis,Tickell's Leaf Warbler,雀形目,柳莺科,,
737,棕眉柳莺,,Phylloscopus armandii,Yellow-streaked Warbler,雀形目,柳莺科,,
738,极北柳莺,,Phylloscopus borealis,Arctic Warbler,雀形目,柳莺科,,
739,库页岛柳莺,,Phylloscopus borealoides,Sakhalin Leaf Warbler,雀形目,柳莺科,,
740,金眶鹟莺,,Phylloscopus burkii,Green-crowned Warbler,雀形目,柳莺科,,
741,灰岩柳莺,,Phylloscopus calciatilis,Limestone Leaf Warbler,雀形目,柳莺科,,
742,黄胸柳莺,,Phylloscopus cantator,Yellow-vented Warbler,雀形目,柳莺科,,
743,栗头鹟莺,,Phylloscopus castaniceps,Chestnut-crowned Warbler,雀形目,柳莺科,,
744,淡黄腰柳莺,,Phylloscopus chloronotus,Lemon-rumped Warbler,雀形目,柳莺科,,
745,冠纹柳莺,,Phylloscopus claudiae,Claudia's Leaf Warbler,雀形目,柳莺科,,
746,叽喳柳莺,,Phylloscopus collybita,Common Chiffchaff,雀形目,柳莺科,,
747,冕柳莺,,Phylloscopus coronatus,Eastern Crowned Warbler,雀形目,柳莺科,,
748,峨眉柳莺,,Phylloscopus emeiensis,Emei Leaf Warbler,雀形目,柳莺科,,
749,堪察加柳莺,,Phylloscopus examinandus,Kamchatka Leaf Warbler,雀形目,柳莺科,,
750,四川柳莺,,Phylloscopus forresti,Sichuan Leaf Warbler,雀形目,柳莺科,,
751,烟柳莺,,Phylloscopus fuligiventer,Smoky Warbler,雀形目,柳莺科,,
752,褐柳莺,,Phylloscopus fuscatus,Dusky Warbler,雀形目,柳莺科,,
753,华南冠纹柳莺,,Phylloscopus goodsoni,Hartert's Leaf Warbler,雀形目,柳莺科,,
754,灰柳莺,,Phylloscopus griseolus,Sulphur-bellied Warbler,雀形目,柳莺科,,
755,海南柳莺,,Phylloscopus hainanus,Hainan Leaf Warbler,雀形目,柳莺科,,
756,淡眉柳莺,,Phylloscopus humei,Hume's Leaf Warbler,雀形目,柳莺科,,
757,日本冕柳莺,,Phylloscopus ijimae,Ijima's Leaf-Warbler,雀形目,柳莺科,,
758,黄眉柳莺,,Phylloscopus inornatus,Yellow-browed Warbler,雀形目,柳莺科,,
759,云南白斑尾柳莺,,Phylloscopus intensior,Davison's Leaf Warbler,雀形目,柳莺科,,
760,白眶鹟莺,,Phylloscopus intermedius,White-spectacled Warbler,雀形目,柳莺科,,
761,甘肃柳莺,,Phylloscopus kansuensis,Gansu Leaf Warbler,雀形目,柳莺科,,
762,灰喉柳莺,,Phylloscopus maculipennis,Ashy-throated Warbler,雀形目,柳莺科,,
763,乌嘴柳莺,,Phylloscopus magnirostris,Large-billed Leaf Warbler,雀形目,柳莺科,,
764,华西柳莺,,Phylloscopus occisinensis,Alpine Leaf Warbler,雀形目,柳莺科,,
765,白斑尾柳莺,,Phylloscopus ogilviegranti,Kloss's Leaf Warbler,雀形目,柳莺科,,
766,峨眉鹟莺,,Phylloscopus omeiensis,Martens's Warbler,雀形目,柳莺科,,
767,双斑绿柳莺,,Phylloscopus plumbeitarsus,Two-barred Warbler,雀形目,柳莺科,,
768,灰脸鹟莺,,Phylloscopus poliogenys,Grey-cheeked Warbler,雀形目,柳莺科,,
769,黄腰柳莺,,Phylloscopus proregulus,Pallas's Leaf Warbler,雀形目,柳莺科,,
770,橙斑翅柳莺,,Phylloscopus pulcher,Buff-barred Warbler,雀形目,柳莺科,,
771,西南冠纹柳莺,,Phylloscopus reguloides,Blyth's Leaf Warbler,雀形目,柳莺科,,
772,黑眉柳莺,,Phylloscopus ricketti,Sulphur-breasted Warbler,雀形目,柳莺科,,
773,巨嘴柳莺,,Phylloscopus schwarzi,Radde's Warbler,雀形目,柳莺科,,
774,林柳莺,,Phylloscopus sibilatrix,Wood Warbler,雀形目,柳莺科,,
775,中亚叽喳柳莺,,Phylloscopus sindianus,Mountain Chiffchaff,雀形目,柳莺科,,
776,淡尾鹟莺,,Phylloscopus soror,Alström's Warbler,雀形目,柳莺科,,
777,棕腹柳莺,,Phylloscopus subaffinis,Buff-throated Warbler,雀形目,柳莺科,,
778,淡脚柳莺,,Phylloscopus tenellipes,Pale-legged Leaf Warbler,雀形目,柳莺科,,
779,灰冠鹟莺,,Phylloscopus tephrocephalus,Grey-crowned Warbler,雀形目,柳莺科,,
780,暗绿柳莺,,Phylloscopus trochiloides,Greenish Warbler,雀形目,柳莺科,,
781,欧柳莺,,Phylloscopus trochilus,Willow Warbler,雀形目,柳莺科,,
782,比氏鹟莺,,Phylloscopus valentini,Bianchi's Warbler,雀形目,柳莺科,,
783,韦氏鹟莺,,Phylloscopus whistleri,Whistler's Warbler,雀形目,柳莺科,,
784,日本柳莺,,Phylloscopus xanthodryas,Japanese Leaf Warbler,雀形目,柳莺科,,
785,灰头柳莺,,Phylloscopus xanthoschistos,Grey-hooded Warbler,雀形目,柳莺科,,
786,云南柳莺,,Phylloscopus yunnanensis,Chinese Leaf Warbler,雀形目,柳莺科,,
787,棕脸鹟莺,,Abroscopus albogularis,Rufous-faced Warbler,雀形目,树莺科,,
788,黑脸鹟莺,,Abroscopus schisticeps,Black-faced Warbler,雀形目,树莺科,,
789,黄腹鹟莺,,Abroscopus superciliaris,Yellow-bellied Warbler,雀形目,树莺科,,
790,棕顶树莺,,Cettia brunnifrons,Grey-sided Bush Warbler,雀形目,树莺科,,
791,栗头树莺,,Cettia castaneocoronata,Chestnut-headed Tesia,雀形目,树莺科,,
792,宽尾树莺,,Cettia cetti,Cetti's Warbler,雀形目,树莺科,,
793,大树莺,,Cettia major,Chestnut-crowned Bush Warbler,雀形目,树莺科,,
794,淡脚树莺,,Hemitesia pallidipes,Pale-footed Bush Warbler,雀形目,树莺科,,
795,黄腹树莺,,Horornis acanthizoides,Yellow-bellied Bush Warbler,雀形目,树莺科,,
796,喜山黄腹树莺,,Horornis brunnescens,Hume's Bush Warbler,雀形目,树莺科,,
797,远东树莺,,Horornis canturians,Manchurian Bush Warbler,雀形目,树莺科,,
798,短翅树莺,,Horornis diphone,Japanese Bush Warbler,雀形目,树莺科,,
799,异色树莺,,Horornis flavolivaceus,Aberrant Bush Warbler,雀形目,树莺科,,
800,强脚树莺,,Horornis fortipes,Brown-flanked Bush Warbler,雀形目,树莺科,,
801,栗头织叶莺,金头缝叶莺,Phyllergates cucullatus,Mountain Tailorbird,雀形目,树莺科,,
