point_id,point_name,province_name,city_name,district_name,adcode,longitude,latitude,altitude,isopen
200828,虞山国家森林公园,江苏省,苏州市,常熟市,320581,120.71147,31.67976,,0
101467,虞山尚湖旅游度假区,江苏省,苏州市,常熟市,320581,120.69729,31.65226,,0
491,尚湖風景區,江苏省,苏州市,常熟市,320581,120.70069,31.65555,,0
